rank,product_name,price
1,베이직 코튼 자켓,"227,000원"
2,크롭 데일리 자켓,"134,000원"
3,미니 울 기본 코트,"57,000원"
4,[에브리데이] 아이보리 크롭 코튼 겨울 자켓,"197,000원"
5,[무드라인] 슬림핏 가디건 (6COLOR),"73,000원"
6,아이보리 크롭 데일리 셔츠 (7COLOR),"143,000원"
7,[노르딕] 베이직 터틀넥 후드,"66,000원"
8,아이보리 오버핏 터틀넥 가디건 (3COLOR),"135,000원"
9,오버핏 스커트,"40,000원"
10,[노르딕] 크롭 캐시미어 후드,"240,000원"
11,[에브리데이] 슬림핏 코튼 울혼방 코트 (6COLOR),"257,000원"
12,베이직 터틀넥 스커트 (2COLOR),"138,000원"
13,오버핏 겨울 티셔츠,"88,000원"
14,베이지 오버핏 코튼 후드,"52,000원"
15,슬림핏 캐시미어 라운드 니트,"41,000원"
16,[노르딕] 슬림핏 코튼 울혼방 팬츠,"128,000원"
17,[에브리데이] 베이지 슬림핏 코트 (7COLOR),"114,000원"
18,블랙 슬림핏 터틀넥 티셔츠,"172,000원"
19,크롭 셔츠,"77,000원"
20,미니 캐시미어 울혼방 코트,"226,000원"
21,[코튼하우스] 크롭 울 후드,"141,000원"
22,네이비 베이직 원피스,"49,000원"
23,슬림핏 니트 (7COLOR),"92,000원"
24,루즈핏 코튼 데일리 팬츠,"117,000원"
25,[포레스트] 그레이 슬림핏 원피스 (4COLOR),"128,000원"
26,네이비 슬림핏 셔츠,"138,000원"
27,블랙 슬림핏 티셔츠 (6COLOR),"189,000원"
28,크롭 캐시미어 라운드 티셔츠 (4COLOR),"233,000원"
29,[에브리데이] 크롭 데님 겨울 원피스 (3COLOR),"96,000원"
30,네이비 슬림핏 코트,"83,000원"
31,[루트] 그레이 루즈핏 기본 셔츠,"39,000원"
32,[블랑] 베이직 울 터틀넥 후드 (2COLOR),"104,000원"
33,[에브리데이] 블랙 루즈핏 울 자켓,"88,000원"
34,[에브리데이] 블랙 롱 원피스,"148,000원"
35,미니 겨울 스커트,"258,000원"
36,[포레스트] 크롭 가디건,"19,000원"
37,[코튼하우스] 베이직 데님 후드 (7COLOR),"163,000원"
38,[코튼하우스] 그레이 크롭 가디건,"190,000원"
39,슬림핏 캐시미어 터틀넥 니트,"243,000원"
40,네이비 슬림핏 데님 기본 가디건,"133,000원"
41,[무드라인] 그레이 루즈핏 폴리 스커트,"52,000원"
42,[세컨드] 아이보리 슬림핏 니트,"226,000원"
43,롱 캐시미어 후드,"25,000원"
44,롱 코튼 터틀넥 코트,"236,000원"
45,미니 코트,"204,000원"
46,[코튼하우스] 아이보리 슬림핏 울혼방 원피스 (3COLOR),"111,000원"
47,[코튼하우스] 베이지 슬림핏 폴리 셔츠,"161,000원"
48,[포레스트] 크롭 하프집업 원피스,"245,000원"
49,크롭 겨울 스커트,"58,000원"
50,아이보리 오버핏 기본 니트,"81,000원"
51,[블랑] 아이보리 슬림핏 니트,"251,000원"
52,블랙 슬림핏 캐시미어 터틀넥 티셔츠,"85,000원"
53,[세컨드] 아이보리 오버핏 울 겨울 자켓,"215,000원"
54,베이지 슬림핏 데님 티셔츠 (6COLOR),"248,000원"
55,[노르딕] 네이비 루즈핏 데님 기본 후드,"75,000원"
56,그레이 미니 데님 데일리 팬츠,"48,000원"
57,[코튼하우스] 그레이 크롭 폴리 데일리 원피스,"46,000원"
58,[에브리데이] 크롭 울혼방 후드,"213,000원"
59,[코튼하우스] 네이비 크롭 터틀넥 셔츠,"57,000원"
60,루즈핏 울 기본 원피스,"141,000원"
61,[코튼하우스] 블랙 오버핏 겨울 후드,"47,000원"
62,[노르딕] 베이직 캐시미어 터틀넥 셔츠 (2COLOR),"147,000원"
63,롱 데님 겨울 원피스,"102,000원"
64,베이직 울 겨울 후드,"103,000원"
65,베이직 캐시미어 스커트,"193,000원"
66,[무드라인] 블랙 루즈핏 데님 티셔츠,"77,000원"
67,[포레스트] 크롭 캐시미어 울혼방 가디건,"111,000원"
68,[블랑] 크롭 울 셔츠 (7COLOR),"70,000원"
69,슬림핏 울 터틀넥 코트,"213,000원"
70,[코튼하우스] 크롭 팬츠,"230,000원"
71,[세컨드] 베이지 슬림핏 폴리 기본 스커트 (5COLOR),"186,000원"
72,그레이 루즈핏 캐시미어 라운드 후드,"122,000원"
73,크롭 셔츠,"25,000원"
74,블랙 크롭 터틀넥 셔츠,"153,000원"
75,그레이 크롭 울혼방 후드,"23,000원"
76,네이비 슬림핏 폴리 팬츠 (6COLOR),"49,000원"
77,크롭 후드 (4COLOR),"200,000원"
78,오버핏 데님 울혼방 스커트,"133,000원"
79,그레이 루즈핏 팬츠 (7COLOR),"76,000원"
80,[무드라인] 블랙 미니 데님 라운드 티셔츠 (7COLOR),"253,000원"
81,크롭 데님 원피스,"122,000원"
82,[루트] 네이비 베이직 코튼 가디건,"224,000원"
83,슬림핏 데님 니트 (3COLOR),"256,000원"
84,[코튼하우스] 그레이 크롭 하프집업 팬츠,"195,000원"
85,네이비 크롭 캐시미어 데일리 스커트,"171,000원"
86,[루트] 아이보리 미니 데님 스커트,"85,000원"
87,[노르딕] 베이지 크롭 코트,"249,000원"
88,그레이 루즈핏 코튼 하프집업 가디건,"139,000원"
89,[노르딕] 아이보리 루즈핏 캐시미어 데일리 가디건,"41,000원"
90,[세컨드] 아이보리 미니 울혼방 원피스,"178,000원"
91,[세컨드] 베이지 루즈핏 터틀넥 자켓,"42,000원"
92,슬림핏 터틀넥 자켓 (6COLOR),"196,000원"
93,[세컨드] 크롭 울 팬츠,"244,000원"
94,[블랑] 네이비 크롭 데님 기본 티셔츠,"240,000원"
95,[코튼하우스] 베이직 폴리 스커트 (3COLOR),"222,000원"
96,[루트] 네이비 크롭 코튼 티셔츠,"223,000원"
97,그레이 베이직 울 터틀넥 팬츠 (7COLOR),"201,000원"
98,[블랑] 그레이 오버핏 기본 원피스,"221,000원"
99,베이지 슬림핏 폴리 셔츠,"65,000원"
100,네이비 베이직 울혼방 셔츠,"92,000원"
101,블랙 롱 캐시미어 울혼방 코트,"201,000원"
102,[블랑] 블랙 베이직 울 티셔츠 (6COLOR),"120,000원"
103,[코튼하우스] 롱 라운드 팬츠,"251,000원"
104,[루트] 오버핏 데일리 스커트,"59,000원"
105,[세컨드] 베이직 자켓 (3COLOR),"25,000원"
106,[세컨드] 아이보리 롱 터틀넥 니트,"222,000원"
107,슬림핏 코튼 라운드 스커트,"85,000원"
108,베이직 코튼 자켓 (7COLOR),"152,000원"
109,크롭 울 터틀넥 티셔츠,"21,000원"
110,루즈핏 자켓 (6COLOR),"64,000원"
111,[포레스트] 베이직 폴리 기본 스커트,"92,000원"
112,크롭 울 셔츠 (6COLOR),"98,000원"
113,베이지 오버핏 캐시미어 셔츠,"102,000원"
114,[에브리데이] 아이보리 슬림핏 울혼방 가디건 (6COLOR),"112,000원"
115,[노르딕] 블랙 롱 라운드 티셔츠,"259,000원"
116,베이지 미니 원피스,"243,000원"
117,블랙 크롭 데님 자켓,"239,000원"
118,루즈핏 코튼 티셔츠,"128,000원"
119,[블랑] 슬림핏 니트,"224,000원"
120,[무드라인] 아이보리 크롭 터틀넥 니트,"96,000원"
121,미니 울혼방 팬츠,"135,000원"
122,[코튼하우스] 블랙 미니 폴리 기본 스커트,"218,000원"
123,아이보리 슬림핏 폴리 후드,"185,000원"
124,블랙 슬림핏 자켓,"214,000원"
125,[포레스트] 미니 폴리 하프집업 셔츠 (5COLOR),"228,000원"
126,미니 스커트,"76,000원"
127,슬림핏 코튼 니트,"157,000원"
128,[무드라인] 크롭 데님 코트,"88,000원"
129,[블랑] 슬림핏 캐시미어 기본 팬츠,"236,000원"
130,크롭 코튼 울혼방 원피스,"236,000원"
131,네이비 슬림핏 원피스,"41,000원"
132,슬림핏 데님 데일리 스커트,"169,000원"
133,아이보리 미니 코튼 하프집업 가디건,"192,000원"
134,[포레스트] 오버핏 스커트 (5COLOR),"94,000원"
135,[포레스트] 그레이 슬림핏 가디건,"127,000원"
136,아이보리 슬림핏 가디건,"128,000원"
137,[루트] 미니 데님 라운드 티셔츠,"143,000원"
138,[블랑] 오버핏 코튼 라운드 원피스,"65,000원"
139,[무드라인] 아이보리 롱 데일리 자켓,"246,000원"
140,베이직 캐시미어 데일리 후드,"136,000원"
141,[에브리데이] 아이보리 베이직 폴리 원피스 (7COLOR),"157,000원"
142,네이비 크롭 캐시미어 기본 자켓 (5COLOR),"27,000원"
143,[무드라인] 베이직 셔츠,"182,000원"
144,베이지 롱 코트 (3COLOR),"138,000원"
145,네이비 크롭 데일리 팬츠,"235,000원"
146,[에브리데이] 네이비 크롭 폴리 울혼방 티셔츠,"135,000원"
147,[에브리데이] 블랙 베이직 겨울 티셔츠,"20,000원"
148,그레이 베이직 라운드 원피스,"156,000원"
149,[포레스트] 그레이 롱 겨울 코트 (4COLOR),"248,000원"
150,크롭 자켓,"88,000원"
151,루즈핏 데님 하프집업 스커트,"25,000원"
152,미니 터틀넥 니트,"121,000원"
153,크롭 팬츠 (6COLOR),"98,000원"
154,[코튼하우스] 베이직 원피스,"238,000원"
155,슬림핏 캐시미어 자켓 (7COLOR),"67,000원"
156,[세컨드] 네이비 슬림핏 티셔츠 (5COLOR),"45,000원"
157,[세컨드] 미니 캐시미어 데일리 자켓 (6COLOR),"136,000원"
158,베이지 오버핏 니트,"254,000원"
159,블랙 크롭 폴리 자켓,"167,000원"
160,[포레스트] 베이지 루즈핏 자켓 (2COLOR),"85,000원"
161,[세컨드] 베이지 슬림핏 폴리 자켓,"71,000원"
162,[노르딕] 미니 하프집업 가디건 (7COLOR),"256,000원"
163,그레이 크롭 데님 니트,"231,000원"
164,[에브리데이] 아이보리 크롭 울 기본 코트,"259,000원"
165,크롭 티셔츠,"34,000원"
166,[루트] 슬림핏 겨울 후드,"44,000원"
167,오버핏 코튼 데일리 후드,"84,000원"
168,[세컨드] 롱 니트,"107,000원"
169,[노르딕] 루즈핏 울 팬츠,"19,000원"
170,[무드라인] 슬림핏 터틀넥 후드,"48,000원"
171,[무드라인] 아이보리 크롭 데일리 니트,"211,000원"
172,블랙 슬림핏 니트,"158,000원"
173,[코튼하우스] 아이보리 루즈핏 데일리 팬츠,"256,000원"
174,베이직 셔츠,"62,000원"
175,네이비 크롭 폴리 울혼방 티셔츠 (4COLOR),"96,000원"
176,롱 폴리 니트 (4COLOR),"140,000원"
177,베이직 폴리 기본 스커트 (7COLOR),"244,000원"
178,[루트] 베이지 롱 셔츠,"200,000원"
179,그레이 루즈핏 티셔츠,"233,000원"
180,크롭 겨울 셔츠,"19,000원"
181,[세컨드] 네이비 롱 셔츠,"26,000원"
182,그레이 슬림핏 폴리 가디건,"38,000원"
183,[무드라인] 아이보리 루즈핏 코튼 스커트,"233,000원"
184,[코튼하우스] 베이직 코튼 라운드 티셔츠,"93,000원"
185,롱 라운드 팬츠 (4COLOR),"202,000원"
186,[루트] 미니 하프집업 티셔츠,"238,000원"
187,[노르딕] 네이비 루즈핏 데님 겨울 가디건,"190,000원"
188,네이비 오버핏 코트 (5COLOR),"207,000원"
189,[루트] 슬림핏 데님 원피스,"158,000원"
190,[노르딕] 루즈핏 데님 터틀넥 코트,"183,000원"
191,[에브리데이] 그레이 슬림핏 라운드 코트,"27,000원"
192,슬림핏 하프집업 셔츠,"128,000원"
193,[블랑] 크롭 코트,"169,000원"
194,슬림핏 코튼 기본 자켓 (2COLOR),"87,000원"
195,[무드라인] 크롭 하프집업 티셔츠 (3COLOR),"118,000원"
196,[무드라인] 베이지 슬림핏 터틀넥 코트,"102,000원"
197,[에브리데이] 베이직 니트,"167,000원"
198,[세컨드] 그레이 크롭 폴리 하프집업 니트,"109,000원"
199,슬림핏 데님 기본 셔츠,"137,000원"
200,베이지 베이직 라운드 스커트 (6COLOR),"102,000원"
