product_id,product_name,category,subcategory,color,material,fit,list_price,cost_price,launch_date,image_file
P001,핑크 오버핏 코튼 자켓,outer,자켓,pink,코튼,오버핏,193000,91500,2025-11-27,images/P001.png
P002,네이비 크롭 니트 코트,outer,코트,navy,니트,크롭,163000,61800,2025-08-08,images/P002.png
P003,그린 레귤러핏 린넨 코트,outer,코트,green,린넨,레귤러핏,136000,62900,2025-11-01,images/P003.png
P004,블랙 크롭 코튼 가디건,outer,가디건,black,코튼,크롭,157000,57300,2025-10-27,images/P004.png
P005,그린 레귤러핏 울 가디건,outer,가디건,green,울,레귤러핏,227000,92100,2025-05-10,images/P005.png
P006,그린 레귤러핏 울 코트,outer,코트,green,울,레귤러핏,275000,121000,2025-06-29,images/P006.png
P007,그레이 와이드 린넨 코트,outer,코트,gray,린넨,와이드,262000,140400,2025-10-17,images/P007.png
P008,네이비 크롭 니트 코트,outer,코트,navy,니트,크롭,279000,125400,2025-06-14,images/P008.png
P009,그레이 오버핏 린넨 코트,outer,코트,gray,린넨,오버핏,194000,76900,2025-08-02,images/P009.png
P010,네이비 레귤러핏 데님 자켓,outer,자켓,navy,데님,레귤러핏,263000,122700,2025-09-28,images/P010.png
P011,브라운 오버핏 폴리 코트,outer,코트,brown,폴리,오버핏,265000,144000,2025-12-25,images/P011.png
P012,그레이 크롭 울 코트,outer,코트,gray,울,크롭,138000,65600,2025-11-27,images/P012.png
P013,핑크 슬림핏 린넨 패딩,outer,패딩,pink,린넨,슬림핏,271000,123900,2025-06-01,images/P013.png
P014,핑크 슬림핏 데님 코트,outer,코트,pink,데님,슬림핏,203000,83900,2025-09-13,images/P014.png
P015,핑크 오버핏 코튼 패딩,outer,패딩,pink,코튼,오버핏,222000,118000,2025-10-30,images/P015.png
P016,그린 슬림핏 코튼 자켓,outer,자켓,green,코튼,슬림핏,169000,71300,2025-09-10,images/P016.png
P017,그레이 크롭 니트 자켓,outer,자켓,gray,니트,크롭,274000,102800,2025-12-07,images/P017.png
P018,브라운 오버핏 니트 가디건,outer,가디건,brown,니트,오버핏,273000,133500,2025-10-14,images/P018.png
P019,화이트 레귤러핏 코튼 셔츠,top,셔츠,white,코튼,레귤러핏,37000,17500,2025-10-16,images/P019.png
P020,베이지 오버핏 데님 티셔츠,top,티셔츠,beige,데님,오버핏,41000,16400,2025-08-11,images/P020.png
P021,핑크 레귤러핏 울 니트,top,니트,pink,울,레귤러핏,72000,34000,2025-12-08,images/P021.png
P022,브라운 오버핏 린넨 니트,top,니트,brown,린넨,오버핏,36000,15600,2025-07-24,images/P022.png
